index,市区町村コード,住所,種類,面積（㎡）,築年数,最寄駅：距離（分）,取引価格（総額）,divergence,ratio,signed_pct,direction,band,quantile_median,empirical_median,has_overlap,n_used,flag
38608,13221,東京都清瀬市松山,中古マンション等,85,22.0,3.0,48000000,0.3941671224050484,1.3941671224050485,39.41671224050484,高値,中度,43916264.355759025,31500000.0,True,30,要人手査定
19456,13112,東京都世田谷区上北沢,中古マンション等,50,57.0,3.0,30000000,0.39414730666260506,0.605852693337395,-39.4147306662605,安値,中度,22113623.306814916,36500000.0,True,30,要人手査定
4049,13103,東京都港区赤坂,中古マンション等,35,23.0,2.0,73000000,0.3941393838264099,1.3941393838264098,39.41393838264099,高値,中度,69706969.1913205,50000000.0,True,30,要人手査定
25174,13116,東京都豊島区南池袋,中古マンション等,55,11.0,7.0,140000000,0.3941090911606793,1.3941090911606793,39.410909116067934,高値,中度,131743309.1146842,94500000.0,True,30,要人手査定
7692,13105,東京都文京区湯島,中古マンション等,25,28.0,4.0,40000000,0.3939729301242705,1.3939729301242705,39.39729301242705,高値,中度,32758363.857920356,23500000.0,True,30,要人手査定
39189,13225,東京都稲城市平尾,中古マンション等,55,55.0,5.0,9500000,0.39390078144594814,0.6060992185540518,-39.39007814459482,安値,中度,9091488.278310778,15000000.0,True,30,要人手査定
39188,13225,東京都稲城市平尾,中古マンション等,55,55.0,5.0,9800000,0.39390078144594814,0.6060992185540518,-39.39007814459482,安値,中度,9091488.278310778,15000000.0,True,30,要人手査定
38234,13215,東京都国立市谷保,中古マンション等,55,18.0,8.0,25000000,0.39378542164898084,0.6062145783510191,-39.378542164898086,安値,中度,24248583.134040765,40000000.0,True,30,要人手査定
34849,13203,東京都武蔵野市吉祥寺北町,中古マンション等,20,46.0,13.0,8000000,0.39378060161646883,0.6062193983835312,-39.378060161646886,安値,中度,10608839.471711796,17500000.0,True,30,要人手査定
20005,13112,東京都世田谷区砧,中古マンション等,70,9.0,18.0,92000000,0.39366509410982103,1.393665094109821,39.366509410982104,高値,中度,93375561.30535801,67000000.0,True,30,要人手査定
39124,13224,東京都多摩市落合,中古マンション等,75,13.0,20.0,59000000,0.3936549536414918,1.3936549536414917,39.365495364149176,高値,中度,47384268.42381072,34000000.0,True,30,要人手査定
26314,13118,東京都荒川区西尾久,中古マンション等,45,39.0,2.0,16000000,0.3934456769761545,0.6065543230238455,-39.34456769761545,安値,中度,18196629.690715365,30000000.0,True,30,要人手査定
23415,13115,東京都杉並区下高井戸,中古マンション等,35,52.0,6.0,16000000,0.393438836311936,0.606561163688064,-39.3438836311936,安値,中度,14557467.928513536,24000000.0,True,30,要人手査定
9666,13107,東京都墨田区亀沢,中古マンション等,65,14.0,10.0,100000000,0.3934219947989825,1.3934219947989825,39.34219947989825,高値,中度,78031631.70874302,56000000.0,True,30,要人手査定
13890,13109,東京都品川区二葉,中古マンション等,35,43.0,4.0,12000000,0.3933832722642264,0.6066167277357736,-39.33832722642264,安値,中度,18501810.195941094,30500000.0,True,30,要人手査定
25817,13117,東京都北区田端,中古マンション等,55,17.0,9.0,66000000,0.3933342952403134,1.3933342952403134,39.33342952403134,高値,中度,70363381.90963583,50500000.0,True,30,要人手査定
6897,13105,東京都文京区大塚,中古マンション等,15,41.0,5.0,11000000,0.3932945711702036,0.6067054288297964,-39.32945711702036,安値,中度,10313992.290106539,17000000.0,True,30,要人手査定
23381,13115,東京都杉並区堀ノ内,中古マンション等,35,37.0,7.0,22000000,0.39327952571201363,0.6067204742879864,-39.327952571201365,安値,中度,18201614.22863959,30000000.0,True,30,要人手査定
